date,signal,holding_days,today_price,future_price,forward_return_pct,asset
2023-10-02,BUY,10,21.218000411987305,22.61000061035156,6.560468335073794,silver
2023-10-13,SELL,10,22.72699928283691,22.770000457763672,-0.1892074461375779,silver
2023-11-14,SELL,10,23.07900047302246,25.07200050354004,-8.635556088519685,silver
2023-12-04,BUY,10,24.55500030517578,23.83099937438965,-2.948486751325862,silver
2024-01-03,BUY,10,22.945999145507812,22.66699981689453,-1.2158953151007224,silver
2024-02-13,BUY,10,22.09600067138672,22.40999984741211,1.4210679149372256,silver
2024-03-21,BUY,10,24.849000930786133,27.399999618530273,10.266001014888433,silver
2024-04-22,BUY,10,27.21299934387207,27.368999481201172,0.5732559478572519,silver
2024-05-17,SELL,10,31.04700088500977,30.641000747680664,1.307695190375479,silver
2024-06-04,BUY,10,29.488000869750977,29.5049991607666,0.05764477249816545,silver
2024-06-07,BUY,10,29.334999084472656,29.48900032043457,0.5249744018005735,silver
2024-07-17,BUY,10,30.136999130249023,28.777999877929688,-4.509404690380354,silver
2024-08-05,BUY,10,27.076000213623047,29.239999771118164,7.992316222564957,silver
2024-08-08,SELL,10,27.5,29.006000518798828,-5.476365522904829,silver
2024-10-08,BUY,10,30.354999542236328,34.83100128173828,14.745517400762889,silver
2024-11-06,BUY,10,31.22100067138672,30.95599937438965,-0.84879181095543,silver
2024-12-09,SELL,10,32.215999603271484,29.88800048828125,7.22622033666101,silver
2025-01-15,SELL,10,31.319000244140625,32.36399841308594,-3.336626842489386,silver
2025-04-03,BUY,10,31.8439998626709,32.41999816894531,1.8088126766688866,silver
2025-04-04,BUY,10,29.11599922180176,32.49599838256836,11.608734891831189,silver
2025-06-02,SELL,10,34.5629997253418,36.37900161743164,-5.254179054251302,silver
2025-07-11,SELL,10,38.67599868774414,38.16699981689453,1.3160587654350697,silver
2025-08-22,SELL,10,39.00299835205078,41.42599868774414,-6.212343763478784,silver
2025-08-29,SELL,10,40.20000076293945,42.516998291015625,-5.763675333589101,silver
2025-09-17,BUY,10,41.72200012207031,47.290000915527344,13.345479068995166,silver
2025-10-07,BUY,10,47.17900085449219,47.45000076293945,0.5744079008435851,silver
2025-10-09,BUY,10,46.849998474121094,48.48199844360352,3.483457892498993,silver
2025-10-10,BUY,10,46.9379997253418,48.37699890136719,3.0657445661206477,silver
2025-10-17,BUY,10,49.86399841308594,47.99399948120117,-3.750198522776339,silver
2025-10-21,BUY,10,47.45000076293945,47.130001068115234,-0.674393445055859,silver
2025-11-28,SELL,10,56.44599914550781,61.36199951171875,-8.709209581955237,silver
2025-12-29,BUY,10,69.85600280761719,85.87699890136719,22.934315520273444,silver
2026-01-30,BUY,10,78.29000091552734,77.85099792480469,-0.5607395396461009,silver
2021-04-28,BUY,20,26.08099937438965,27.85300064086914,6.794223032034258,silver
2021-05-19,SELL,20,28.007999420166016,25.8439998626709,7.7263624760611,silver
2021-06-16,SELL,20,27.799999237060547,26.375,5.1258966768634355,silver
2021-07-28,BUY,20,24.856000900268555,23.770999908447266,-4.365147057142109,silver
2021-07-29,SELL,20,25.763999938964844,23.54599952697754,8.608913279156063,silver
2021-08-09,BUY,20,23.2549991607666,24.333999633789062,4.639864596696428,silver
2021-09-16,BUY,20,22.75200080871582,23.45599937438965,3.094227059820343,silver
2021-09-22,SELL,20,22.868999481201172,24.423999786376953,-6.799599197393949,silver
2021-10-19,SELL,20,23.86199951171875,24.944000244140625,-4.534409330997174,silver
2021-11-03,BUY,20,23.22599983215332,22.280000686645508,-4.073017964110212,silver
2021-11-29,BUY,20,22.798999786376953,23.111000061035156,1.3684822912478471,silver
2021-12-01,BUY,20,22.298999786376953,23.027999877929688,3.269205338968162,silver
2022-01-12,SELL,20,23.200000762939453,23.518999099731445,-1.374992785782887,silver
2022-02-24,SELL,20,24.68600082397461,25.899999618530273,-4.917762108217422,silver
2022-03-08,SELL,20,26.88800048828125,24.527999877929688,8.777151768425975,silver
